weight,HomeGoalTotal,Home Team Initials,Away Team Initials
1,5,ALG,AUT
1,27,ALG,BEL
1,180,ALG,BRA
1,5,ALG,CHI
1,54,ALG,ENG
1,5,ALG,ESP
1,99,ALG,FRG
2,69,ALG,GER
1,18,ALG,KOR
1,5,ALG,NIR
1,5,ALG,RUS
1,5,ALG,SVN
1,19,ALG,USA
1,1,ANG,IRN
1,22,ANG,MEX
1,0,ANG,POR
4,111,ARG,BEL
1,111,ARG,BIH
4,111,ARG,BRA
3,111,ARG,BUL
1,111,ARG,CHI
1,111,ARG,CIV
1,111,ARG,CMR
1,111,ARG,CRO
5,111,ARG,ENG
1,111,ARG,ESP
2,111,ARG,FRA
4,111,ARG,FRG
1,111,ARG,GDR
4,111,ARG,GER
2,111,ARG,GRE
1,111,ARG,HAI
3,111,ARG,HUN
1,111,ARG,IRN
5,111,ARG,ITA
1,111,ARG,JAM
1,111,ARG,JPN
2,111,ARG,KOR
3,111,ARG,MEX
6,111,ARG,NED
4,111,ARG,NGA
1,111,ARG,NIR
1,111,ARG,PER
2,111,ARG,POL
2,111,ARG,ROU
1,111,ARG,SCG
1,111,ARG,SLV
3,111,ARG,SUI
2,53,ARG,SWE
1,27,ARG,TCH
1,111,ARG,URS
2,111,ARG,URU
1,111,ARG,USA
1,42,ARG,YUG
1,180,AUS,BRA
2,7,AUS,CHI
1,3,AUS,CRO
1,7,AUS,ESP
1,7,AUS,FRG
1,3,AUS,GDR
1,69,AUS,GER
1,4,AUS,GHA
1,99,AUS,ITA
1,7,AUS,JPN
1,7,AUS,NED
1,7,AUS,SRB
2,180,AUT,BRA
2,25,AUT,CHI
1,11,AUT,CMR
1,54,AUT,ENG
1,31,AUT,ESP
2,31,AUT,FRA
3,31,AUT,FRG
1,69,AUT,GER
1,31,AUT,HUN
4,99,AUT,ITA
1,51,AUT,NED
1,31,AUT,NIR
1,31,AUT,SCO
1,31,AUT,SUI
1,31,AUT,SWE
2,31,AUT,TCH
1,43,AUT,URS
1,31,AUT,URU
1,31,AUT,USA
1,180,BEL,BRA
2,54,BEL,ENG
2,27,BEL,ESP
2,68,BEL,FRA
2,69,BEL,GER
1,27,BEL,HUN
1,1,BEL,IRQ
1,99,BEL,ITA
1,7,BEL,JPN
3,27,BEL,KOR
1,27,BEL,KSA
1,27,BEL,MAR
3,27,BEL,MEX
2,27,BEL,NED
2,14,BEL,PAR
1,27,BEL,POL
2,27,BEL,RUS
2,27,BEL,SLV
1,6,BEL,TUN
3,27,BEL,URS
1,27,BEL,URU
3,27,BEL,USA
1,3,BIH,IRN
1,12,BIH,NGA
1,180,BOL,BRA
1,1,BOL,ESP
1,69,BOL,GER
1,18,BOL,KOR
1,62,BOL,URU
1,42,BOL,YUG
1,180,BRA,BUL
5,180,BRA,CHI
1,180,BRA,CHN
1,180,BRA,CIV
2,180,BRA,CMR
2,180,BRA,COL
2,180,BRA,CRC
2,180,BRA,CRO
1,180,BRA,DEN
4,180,BRA,ENG
5,180,BRA,ESP
4,180,BRA,FRA
1,180,BRA,GDR
3,180,BRA,GER
1,180,BRA,GHA
2,73,BRA,HUN
5,180,BRA,ITA
1,7,BRA,JPN
1,180,BRA,MAR
4,180,BRA,MEX
6,180,BRA,NED
1,5,BRA,NIR
1,180,BRA,NOR
1,180,BRA,NZL
2,180,BRA,PER
4,180,BRA,POL
2,36,BRA,POR
1,180,BRA,PRK
1,180,BRA,ROU
1,180,BRA,RUS
4,180,BRA,SCO
1,180,BRA,SUI
7,180,BRA,SWE
5,180,BRA,TCH
2,180,BRA,TUR
2,180,BRA,URS
2,180,BRA,URU
1,180,BRA,USA
1,180,BRA,WAL
4,180,BRA,YUG
1,0,BRA,ZAI
1,54,BUL,ENG
1,50,BUL,ESP
1,99,BUL,FRG
1,11,BUL,GER
1,11,BUL,GRE
2,73,BUL,HUN
2,11,BUL,ITA
1,18,BUL,KOR
1,11,BUL,MAR
2,22,BUL,MEX
1,11,BUL,NED
2,12,BUL,NGA
1,14,BUL,PAR
1,13,BUL,PER
1,36,BUL,POR
2,53,BUL,SWE
1,11,BUL,URU
1,0,CAN,FRA
1,73,CAN,HUN
1,43,CAN,URS
1,25,CHI,CMR
1,54,CHI,ENG
3,25,CHI,ESP
1,25,CHI,FRA
3,99,CHI,FRG
1,25,CHI,GDR
1,2,CHI,HON
3,25,CHI,ITA
1,25,CHI,MEX
1,51,CHI,NED
1,2,CHI,PRK
2,25,CHI,SUI
2,25,CHI,URS
1,25,CHI,USA
1,25,CHI,YUG
1,0,CHN,CRC
1,10,CHN,TUR
1,11,CIV,COL
1,4,CIV,GRE
1,5,CIV,JPN
1,51,CIV,NED
1,5,CIV,POR
1,2,CIV,PRK
1,5,CIV,SCG
1,11,CMR,COL
1,11,CMR,CRO
1,11,CMR,DEN
1,54,CMR,ENG
1,11,CMR,GER
1,2,CMR,IRL
2,99,CMR,ITA
1,7,CMR,JPN
1,11,CMR,KSA
1,22,CMR,MEX
1,11,CMR,NED
1,13,CMR,PER
1,27,CMR,POL
1,11,CMR,ROU
1,9,CMR,RUS
1,11,CMR,SWE
1,11,CMR,URS
1,11,COL,ENG
1,99,COL,FRG
1,11,COL,GRE
1,7,COL,JPN
2,11,COL,ROU
1,22,COL,SUI
1,11,COL,TUN
1,0,COL,UAE
1,43,COL,URS
3,11,COL,URU
1,19,COL,USA
2,42,COL,YUG
1,4,CRC,ECU
1,7,CRC,ENG
1,69,CRC,GER
2,7,CRC,GRE
1,99,CRC,ITA
2,51,CRC,NED
1,7,CRC,POL
1,7,CRC,SCO
1,53,CRC,SWE
1,27,CRC,TCH
1,7,CRC,TUR
1,62,CRC,URU
1,4,CRO,ECU
1,68,CRO,FRA
1,69,CRO,GER
1,99,CRO,ITA
1,1,CRO,JAM
2,7,CRO,JPN
2,3,CRO,MEX
1,51,CRO,NED
1,15,CRO,ROU
2,5,CUB,ROU
1,53,CUB,SWE
1,0,CZE,GHA
1,0,CZE,ITA
1,19,CZE,USA
1,13,DEN,ENG
1,13,DEN,ESP
2,13,DEN,FRA
1,13,DEN,FRG
1,13,DEN,JPN
1,3,DEN,KSA
1,51,DEN,NED
1,12,DEN,NGA
1,7,DEN,RSA
1,11,DEN,SCO
1,13,DEN,SEN
2,13,DEN,URU
1,54,ECU,ENG
1,4,ECU,FRA
1,4,ECU,GER
1,2,ECU,HON
1,99,ECU,ITA
1,22,ECU,MEX
1,27,ECU,POL
1,22,ECU,SUI
1,54,EGY,ENG
1,73,EGY,HUN
1,2,EGY,IRL
1,51,EGY,NED
2,50,ENG,ESP
2,54,ENG,FRA
4,54,ENG,FRG
1,69,ENG,GER
1,73,ENG,HUN
1,54,ENG,IRL
2,54,ENG,ITA
1,54,ENG,KUW
1,54,ENG,MAR
1,54,ENG,MEX
1,54,ENG,NED
1,12,ENG,NGA
2,54,ENG,PAR
1,54,ENG,POL
3,54,ENG,POR
2,54,ENG,ROU
1,54,ENG,SUI
1,3,ENG,SVN
2,54,ENG,SWE
2,54,ENG,TCH
1,54,ENG,TRI
1,54,ENG,TUN
2,43,ENG,URS
3,54,ENG,URU
2,54,ENG,USA
1,50,ESP,FRA
2,99,ESP,FRG
2,69,ESP,GER
2,50,ESP,HON
1,50,ESP,IRL
3,99,ESP,ITA
3,50,ESP,KOR
1,3,ESP,KSA
1,50,ESP,MEX
2,50,ESP,NED
1,50,ESP,NGA
2,5,ESP,NIR
3,50,ESP,PAR
1,50,ESP,POR
1,7,ESP,RSA
3,50,ESP,SUI
1,50,ESP,SVN
2,50,ESP,SWE
1,27,ESP,TCH
1,50,ESP,TUN
1,50,ESP,UKR
2,62,ESP,URU
1,50,ESP,USA
2,50,ESP,YUG
3,68,FRA,FRG
2,68,FRA,GER
1,68,FRA,HON
2,68,FRA,HUN
5,99,FRA,ITA
1,68,FRA,KOR
1,68,FRA,KSA
1,68,FRA,KUW
4,68,FRA,MEX
2,68,FRA,NGA
2,68,FRA,NIR
2,68,FRA,PAR
1,27,FRA,POL
1,36,FRA,POR
2,68,FRA,RSA
1,68,FRA,SCO
1,68,FRA,SEN
2,68,FRA,SUI
1,68,FRA,TCH
1,0,FRA,TOG
1,68,FRA,URS
3,68,FRA,URU
2,42,FRA,YUG
1,3,FRG,GDR
2,99,FRG,HUN
4,99,FRG,ITA
2,99,FRG,MAR
2,99,FRG,MEX
3,99,FRG,NED
1,99,FRG,NIR
1,99,FRG,PER
2,99,FRG,POL
1,99,FRG,SCO
2,99,FRG,SUI
2,99,FRG,SWE
2,99,FRG,TCH
1,99,FRG,TUN
2,99,FRG,TUR
1,99,FRG,UAE
1,99,FRG,URS
3,99,FRG,URU
5,99,FRG,YUG
1,3,GDR,NED
2,69,GER,GHA
1,69,GER,IRL
1,69,GER,IRN
1,69,GER,ITA
2,69,GER,KOR
1,69,GER,KSA
1,69,GER,MEX
1,69,GER,PAR
1,69,GER,POL
2,69,GER,POR
1,69,GER,SRB
2,22,GER,SUI
2,69,GER,SWE
1,27,GER,TCH
1,62,GER,URU
3,69,GER,USA
1,69,GER,YUG
1,99,GHA,ITA
1,36,GHA,POR
1,0,GHA,SRB
1,62,GHA,URU
3,4,GHA,USA
1,7,GRE,JPN
1,18,GRE,KOR
2,4,GRE,NGA
1,99,HAI,ITA
1,0,HAI,POL
1,2,HON,NIR
2,2,HON,SUI
1,2,HON,YUG
1,73,HUN,INH
2,99,HUN,ITA
1,73,HUN,KOR
1,73,HUN,MEX
1,36,HUN,POR
1,73,HUN,SLV
1,73,HUN,SUI
2,73,HUN,SWE
1,27,HUN,TCH
2,43,HUN,URS
1,73,HUN,URU
2,73,HUN,WAL
2,99,IRL,ITA
1,3,IRL,KSA
1,22,IRL,MEX
2,2,IRL,NED
1,2,IRL,NOR
1,2,IRL,ROU
1,22,IRN,MEX
1,51,IRN,NED
1,1,IRN,NGA
1,13,IRN,PER
1,36,IRN,POR
1,11,IRN,SCO
1,19,IRN,USA
1,42,IRN,YUG
1,1,IRQ,MEX
1,14,IRQ,PAR
1,99,ISR,ITA
1,53,ISR,SWE
1,62,ISR,URU
2,18,ITA,KOR
3,99,ITA,MEX
1,51,ITA,NED
1,12,ITA,NGA
3,99,ITA,NOR
1,99,ITA,NZL
2,99,ITA,PAR
1,99,ITA,PER
3,99,ITA,POL
1,2,ITA,PRK
3,99,ITA,SUI
1,3,ITA,SVK
2,99,ITA,SWE
2,99,ITA,TCH
1,99,ITA,UKR
1,43,ITA,URS
3,99,ITA,URU
3,99,ITA,USA
1,7,JAM,JPN
1,51,JPN,NED
1,14,JPN,PAR
1,7,JPN,RUS
1,6,JPN,TUN
1,7,JPN,TUR
1,18,KOR,MEX
1,51,KOR,NED
1,12,KOR,NGA
1,18,KOR,POL
1,36,KOR,POR
1,9,KOR,RUS
1,22,KOR,SUI
1,18,KOR,TOG
2,18,KOR,TUR
2,18,KOR,URU
1,18,KOR,USA
1,3,KSA,MAR
1,51,KSA,NED
1,7,KSA,RSA
1,3,KSA,SWE
1,6,KSA,TUN
1,3,KSA,UKR
1,27,KUW,TCH
1,3,MAR,NED
1,3,MAR,NOR
1,13,MAR,PER
1,3,MAR,POL
1,36,MAR,POR
1,11,MAR,SCO
3,51,MEX,NED
1,1,MEX,NOR
1,22,MEX,PAR
1,27,MEX,POL
1,36,MEX,POR
1,7,MEX,RSA
1,22,MEX,SLV
1,22,MEX,SUI
1,53,MEX,SWE
1,22,MEX,TCH
1,6,MEX,TUN
1,22,MEX,URS
2,22,MEX,URU
1,22,MEX,USA
1,22,MEX,WAL
1,42,MEX,YUG
1,51,NED,PER
1,36,NED,POR
1,0,NED,SCG
1,11,NED,SCO
1,22,NED,SUI
1,51,NED,SVK
1,51,NED,SWE
1,27,NED,TCH
2,62,NED,URU
1,51,NED,YUG
1,12,NGA,PAR
1,53,NGA,SWE
2,5,NIR,TCH
1,42,NIR,YUG
1,11,NOR,SCO
1,14,NZL,PAR
1,11,NZL,SCO
1,1,NZL,SVK
1,43,NZL,URS
1,14,PAR,RSA
1,14,PAR,SCO
1,3,PAR,SVK
1,3,PAR,SVN
2,53,PAR,SWE
1,14,PAR,TRI
1,19,PAR,USA
1,14,PAR,YUG
2,27,PER,POL
1,15,PER,ROU
1,13,PER,SCO
1,62,PER,URU
2,27,POL,POR
1,53,POL,SWE
1,27,POL,TUN
1,27,POL,URS
1,27,POL,USA
1,27,POL,YUG
2,36,POR,PRK
1,36,POR,URS
2,19,POR,USA
1,43,PRK,URS
1,15,ROU,SUI
1,15,ROU,SWE
2,15,ROU,TCH
1,15,ROU,TUN
1,43,ROU,URS
1,62,ROU,URU
1,19,ROU,USA
1,7,RSA,SVN
1,7,RSA,URU
1,53,RUS,SWE
1,9,RUS,TUN
1,53,SCO,SWE
1,43,SCO,URS
2,11,SCO,URU
2,11,SCO,YUG
1,0,SCO,ZAI
1,53,SEN,SWE
1,3,SEN,TUR
1,3,SEN,URU
1,43,SLV,URS
1,27,SUI,TCH
1,0,SUI,TOG
1,22,SUI,UKR
1,19,SUI,USA
1,42,SUI,YUG
1,3,SVN,USA
1,0,SWE,TRI
1,53,SWE,URS
3,53,SWE,URU
1,53,SWE,WAL
1,53,SWE,YUG
1,62,TCH,URU
1,19,TCH,USA
1,27,TCH,YUG
1,1,TUN,UKR
1,42,UAE,YUG
2,43,URS,URU
1,43,URS,YUG
2,62,URU,YUG
1,19,USA,YUG
1,42,YUG,ZAI
